                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241202"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  5.5901699437494777E+001                  1.0000000000000000E+001                 -9.8999999999999986E+001                  1.7474250108400471E+000                                     2468                  3.0187481539191765E+000                  3.0170701712399933E-001                  7.8130182434854589E-008                  9.9999998306683113E-001                  9.9999995438590894E-001                  3.0170701712399933E-001                  7.8130182434854589E-008                  9.9999998306683113E-001                  9.9999995438590894E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7779379637683110E+033                  5.8740660597375571E+033                  6.5963201512612791E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3410286650217257E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6991962261287457E+000                 -3.0758252946855613E+001                 -9.8999999999999986E+001                  3.6991962261287457E+000                  4.4021391890025949E+000                  5.6688592610548249E+003                  3.7534956750354218E+000                  5.9512262037701702E-001                  4.2478223865490987E+000                  1.7693851847183756E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4984195691657600E+000                  9.5909163062613578E-001                  1.6613617405572686E+001                  6.1753339119797102E-001                  8.4930532193713215E-001                  6.9861055982189002E-001                  2.8083936277564442E-001                  5.4871046669957412E-005                  9.2564465239099395E-003                  3.4468833607860794E-003                  9.3805276451495428E-003                  6.9952491326228934E+000                  2.8026179754258607E+000                  1.5983815948183000E+000                  3.6957392448784905E+000                 -3.0758252946855613E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  5.5901699437494777E+001                  6.5499999999999864E+002                  9.8621682858604356E+002                  5.0784125596918088E+001                  2.5392062798459044E+001                  3.1636664268455360E+002                  4.3393958370382893E+002                 -9.8755680421147829E-001                 -9.8648871049455800E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257988906440E+054                 -1.1588127483708806E+030                  0.0000000000000000E+000                 -1.1588127483708806E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.4511344452184962E+003                  1.0000000000000000E+001                 -9.8999999999999986E+001                  2.4600562252686706E+000                                      998                  2.8187030268583531E+000                  2.8059357012547403E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995415030385E-001                  2.8059357012547403E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995415030385E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8325480865435801E+033                  5.9065245633387286E+033                  6.6054674851607773E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3933246285718085E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7098710394110079E+000                 -3.0715715316197123E+001                 -1.1740169830895265E+001                  3.7098710394110079E+000                  4.4025949845532022E+000                  5.6851939939873864E+003                  3.7547452885630324E+000                  5.9483583603960799E-001                  4.2483959552239172E+000                  1.7717235390234342E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4991623441967210E+000                  9.6129825473705233E-001                  1.6616560870027410E+001                  6.1754508910807204E-001                  8.4929301518939904E-001                  6.9858594648618211E-001                  2.8086434527658727E-001                  5.4354321896409574E-005                  9.2528080683627178E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.9951767210108153E+000                  2.8026892656740205E+000                  1.6052506336665704E+000                  3.7064443390591579E+000                 -3.0715715316197123E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  1.4511344452184960E+003                  6.5499999999998442E+002                  9.8621682858602924E+002                  5.0784125596918464E+001                  2.5392062798459232E+001                  3.1636664268454905E+002                  4.3393958370382268E+002                 -9.8756501830546661E-001                 -9.8659386474891930E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257988905936E+054                 -1.1588127483709285E+030                  0.0000000000000000E+000                 -1.1588127483709285E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.0436176443477072E+004                  1.0000000000000000E+001                 -9.8999999999999986E+001                  3.2518686857449186E+000                                      998                  2.9515705651944821E+000                  2.9360965372153358E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995481112613E-001                  2.9360965372153358E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995481112613E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9287330426055783E+033                  5.9792677854001594E+033                  6.6010785437846834E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.4566380724239261E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7480532654744318E+000                 -3.0589378895462847E+001                 -9.8999999999999986E+001                  3.7480532654744318E+000                  4.4043059848417796E+000                  5.7343213947768809E+003                  3.7584820304427780E+000                  5.9328220640232554E-001                  4.2515032144984817E+000                  1.7844451963414911E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5012112647204550E+000                  9.6696791045101305E-001                  1.6624258946688492E+001                  6.1762181518912762E-001                  8.4921224316532606E-001                  6.9842440453827781E-001                  2.8102895087198621E-001                  5.4696249730260769E-005                  9.2288051979870171E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.9946773535249633E+000                  2.8031833025082507E+000                  1.6160125474581202E+000                  3.7448370085866416E+000                 -3.0589378895462847E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  1.0436176443477070E+004                  6.5499999999989177E+002                  9.8621682858593624E+002                  5.0784125596920845E+001                  2.5392062798460422E+001                  3.1636664268451921E+002                  4.3393958370378169E+002                 -9.8760942329305890E-001                 -9.8679918429764413E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257988902669E+054                 -1.1588127483712488E+030                  0.0000000000000000E+000                 -1.1588127483712488E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  6.6069188240888354E+004                  1.0000000000000000E+001                 -9.8999999999999986E+001                  4.0436811462211661E+000                                      997                  3.0400802359125509E+000                  3.0332232147710236E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995535048047E-001                  3.0332232147710236E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995535048047E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9518961248197601E+033                  6.0261775333580189E+033                  6.6308390648024460E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3939917724433343E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7531616847684779E+000                 -3.0591117935699558E+001                 -1.2041199826559247E+001                  3.7531616847684779E+000                  4.4033455069517462E+000                  5.6490057188848932E+003                  3.7519720144033291E+000                  5.9194815416266955E-001                  4.2541713189777939E+000                  1.7954417467750554E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5011542417945369E+000                  9.6480605157220323E-001                  1.6621841885633913E+001                  6.1810467936396829E-001                  8.4870443556295083E-001                  6.9740879016068558E-001                  2.8206322694403518E-001                  5.6077028821310625E-005                  9.0813725329227622E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.9914526954206853E+000                  2.8063826888342369E+000                  1.5770367211130725E+000                  3.7502569203216019E+000                 -3.0591117935699558E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  6.6069188240888339E+004                  6.5499999999931492E+002                  9.8621682858535735E+002                  5.0784125596935766E+001                  2.5392062798467883E+001                  3.1636664268433350E+002                  4.3393958370352709E+002                 -9.8764742588253152E-001                 -9.8671865216985788E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257988882334E+054                 -1.1588127483732315E+030                  0.0000000000000000E+000                 -1.1588127483732315E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  4.1053413367472845E+005                  1.0000000000000000E+001                 -9.8999999999999986E+001                  4.8354936066974146E+000                                      987                  3.1080242247298426E+000                  3.0977163139407671E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995369307637E-001                  3.0977163139407671E-001                  7.8130180491964296E-008                  9.9999998306683113E-001                  9.9999995369307637E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9641440211399907E+033                  6.0228516664364225E+033                  6.8720144333481321E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.9695126127071247E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7550319126152609E+000                 -3.0688749383567391E+001                 -9.8999999999999986E+001                  3.7550319126152609E+000                  4.4014009132280716E+000                  5.6758608017872139E+003                  3.7540317360178199E+000                  5.9686720241726321E-001                  4.2443332224686063E+000                  1.7552267235457071E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4991935219378023E+000                  9.5654221896062075E-001                  1.6609794035402224E+001                  6.2109309791964018E-001                  8.4558076184071518E-001                  6.9116144152919357E-001                  2.8840988756138092E-001                  6.2953275625671231E-005                  8.2960164866678829E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.9715078442095528E+000                  2.8263653867891789E+000                  1.5174299984671111E+000                  3.7525116725711389E+000                 -3.0688749383567391E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  4.1053413367472851E+005                  6.5499999999574231E+002                  9.8621682858177121E+002                  5.0784125597028101E+001                  2.5392062798514051E+001                  3.1636664268318316E+002                  4.3393958370194918E+002                 -9.8750671875871221E-001                 -9.8629453195210093E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257988756361E+054                 -1.1588127483855224E+030                  0.0000000000000000E+000                 -1.1588127483855224E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  2.0491923897880302E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.2526816568578658E+000                                      980                  3.0542777497485072E+000                  3.0332232147710236E-001                  7.8130180491964296E-008                  9.9999998040603066E-001                  9.9999994586196617E-001                  3.0332232147710236E-001                  7.8130180491964296E-008                  9.9999998040603066E-001                  9.9999994586196617E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9682579182201939E+033                  5.9555045879996504E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7700303960705055E+000                 -3.0828127941144171E+001                 -9.8999999999999986E+001                  3.7700303960705055E+000                  4.3956370984283044E+000                  5.8808086334044756E+003                  3.7694370473141836E+000                  6.1609748766497918E-001                  4.2058726519731744E+000                  1.6064701192410312E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4951763543736956E+000                  9.3559717322649050E-001                  1.6575574572473034E+001                  6.3623949137430524E-001                  8.3021864658084388E-001                  6.6043721826029256E-001                  3.1943771023712786E-001                  8.3982566787217132E-005                  5.8954343069829510E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.8751533027005109E+000                  2.9233501430481743E+000                  1.4324051902131545E+000                  3.7680298018097442E+000                 -3.0828127941144171E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  2.0491923897880302E+006                  6.5499999997874681E+002                  9.8621682856471136E+002                  5.0784125597467330E+001                  2.5392062798733665E+001                  3.1636664267771050E+002                  4.3393958369444272E+002                 -9.8694109381512163E-001                 -9.8470605723645965E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257988157138E+054                 -1.1588127484509501E+030                  0.0000000000000000E+000                 -1.1588127484509501E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  3.5817977625105386E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.1409820488629165E+000                                      987                  2.9510039203194278E+000                  2.9360965372153347E-001                  7.8130180380941994E-008                  9.9999997822901188E-001                  9.9999993801056830E-001                  2.9360965372153347E-001                  7.8130180380941994E-008                  9.9999997822901188E-001                  9.9999993801056830E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9697789952100111E+033                  5.8907355277664757E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7861279231252611E+000                 -3.0759458809930038E+001                 -9.8999999999999986E+001                  3.7861279231252611E+000                  4.3918830918470784E+000                  6.1044252138638885E+003                  3.7856447775029980E+000                  6.3170936592183957E-001                  4.1746488954594536E+000                  1.4950265160786441E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4947250214000203E+000                  9.2600890301107086E-001                  1.6555986800105401E+001                  6.5223912422675112E-001                  8.1477845926791670E-001                  6.2955685540672701E-001                  3.5049930424119519E-001                  9.6879740676382334E-005                  4.4630638697442538E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.7820104716630016E+000                  3.0169367942427168E+000                  1.3768505398488102E+000                  3.7844322016788987E+000                 -3.0759458809930038E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  3.5817977625105381E+006                  6.5499999996285169E+002                  9.8621682854875621E+002                  5.0784125597878138E+001                  2.5392062798939069E+001                  3.1636664267259232E+002                  4.3393958368742233E+002                 -9.8646311684777821E-001                 -9.8279546296448472E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257987596693E+054                 -1.1588127485183040E+030                  0.0000000000000000E+000                 -1.1588127485183040E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  4.8581584402753832E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  5.1169253979020297E+000                                      987                  2.8559102163970191E+000                  2.8385416973601174E-001                  7.8130180491964296E-008                  9.9999997653577521E-001                  9.9999993095902917E-001                  2.8385416973601174E-001                  7.8130180491964296E-008                  9.9999997653577521E-001                  9.9999993095902917E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9696056597908771E+033                  5.7535613007034948E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8004427575082702E+000                 -3.0635902113552213E+001                 -1.1740169830895265E+001                  3.8004427575082702E+000                  4.3890554638152857E+000                  6.3095184897852068E+003                  3.7999962173727488E+000                  6.4454034192030041E-001                  4.1489869434625319E+000                  1.4092464304983216E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4954768877675404E+000                  9.2129775338512743E-001                  1.6543332051910163E+001                  6.6717440626467106E-001                  8.0103862841110907E-001                  6.0207720405501708E-001                  3.7809097608686792E-001                  1.0518581773005698E-004                  3.5782233731783152E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.7017995558490018E+000                  3.0974236162100990E+000                  1.3331608084166222E+000                  3.7989594068576604E+000                 -3.0635902113552213E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  4.8581584402753823E+006                  6.5499999994961456E+002                  9.8621682853546895E+002                  5.0784125598220236E+001                  2.5392062799110118E+001                  3.1636664266832992E+002                  4.3393958368157598E+002                 -9.8605721096581023E-001                 -9.8074133155000776E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257987129961E+054                 -1.1588127485732680E+030                  0.0000000000000000E+000                 -1.1588127485732680E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  5.9196711669445364E+006                  1.0000000000000000E+001                 -9.8999999999999986E+001                  4.9780781338090483E+000                                      980                  2.7721477029971777E+000                  2.7406021992116592E-001                  7.8130180491964296E-008                  9.9999997411686570E-001                  9.9999992420957995E-001                  2.7406021992116592E-001                  7.8130180491964296E-008                  9.9999997411686570E-001                  9.9999992420957995E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9674132630539485E+033                  5.6385547634263667E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8129045700063973E+000                 -3.0501885280693770E+001                 -9.8999999999999986E+001                  3.8129045700063973E+000                  4.3866930119213929E+000                  6.4933740563588253E+003                  3.8124704214979546E+000                  6.5550234777068739E-001                  4.1270629317617580E+000                  1.3398708283287249E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4966365068767233E+000                  9.1889520269088232E-001                  1.6534240590985231E+001                  6.8096060819566284E-001                  7.8889319786768775E-001                  5.7778635130455946E-001                  4.0245722534157380E-001                  1.1103739872211429E-004                  2.9830535204173345E-003                  3.4468833607860794E-003                  9.3805276451495462E-003                  6.6330687732812681E+000                  3.1663369547507956E+000                  1.2960800579643594E+000                  3.8115813830082463E+000                 -3.0501885280693770E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  5.9196711669445345E+006                  6.5499999993860501E+002                  9.8621682852441768E+002                  5.0784125598504779E+001                  2.5392062799252390E+001                  3.1636664266478476E+002                  4.3393958367671331E+002                 -9.8570080258621773E-001                 -9.7767555858342070E-001                  1.0000000000000000E+001                  2.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.9283257986741781E+054                 -1.1588127486202503E+030                  0.0000000000000000E+000                 -1.1588127486202503E+030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
